"URL","ENABLE","TWITTER"
"https://monkeysworking.wordpress.com/category/r/feed/",1,""
"https://fauxvalue.wordpress.com/category/r/feed/",1,""
"https://rclimate.wordpress.com/category/r/feed/",1,""
"https://nzprimarysectortrade.wordpress.com/category/r-related/feed",1,""
"https://shinydata.wordpress.com/tag/r/feed/",1,""
"https://theartandscienceofdata.wordpress.com/category/r/feed/",1,""
"http://feeds.feedburner.com/RDataScienceSoftwareDevelopment",1,""
"https://sw23993.wordpress.com/category/r/feed/",1,""
"https://workspace13.wordpress.com/category/r/feed/",1,""
"https://nk761.wordpress.com/tag/r/feed/",1,""
"https://joey711.wordpress.com/category/r/feed/",1,""
"https://landeco2point0.wordpress.com/category/r/feed/",1,""
"https://joshuamrosenberg.com/categories/r/index.xml",1,""
"https://dataatomic.com/post/index.xml",1,""
"https://www.marsja.se/category/r/feed",1,""
"https://osm.netlify.com/categories/r/index.xml",0,""
"http://feeds.feedburner.com/FlorianPriv",1,""
"https://www.noamross.net/categories/r/index.xml",1,""
"https://www.robinlovelace.net/categories/r/index.xml",1,""
"https://www.hvitfeldt.me/blog/index.xml",1,""
"http://feeds.feedburner.com/Nhs-rCommunity",1,""
"https://blog.r-hub.io/post/index.xml",1,"@rhub_"
"https://theautomatic.net/category/r/feed/",1,""
"https://alastairrushworth.github.io/feed.xml",0,""
"https://www.pedronl.com/categories/r-blogs/index.xml",1,""
"http://feeds.feedburner.com/LittleMissDataRWeekly",1,""
"http://feeds.feedburner.com/R-postsOnTheCrosstabByGElliottMorris",1,""
"http://feeds.feedburner.com/RLanguageOnIlustatDataScienceRLanguageStatistics",1,""
"https://feeds.feedburner.com/haozhu-feed",1,""
"http://feeds.feedburner.com/IegorRudnytskyiPhd",1,""
"http://feeds.feedburner.com/ROnDatawookie",0,""
"http://feeds.feedburner.com/nielsenmarkus-programming",1,""
"http://feeds.feedburner.com/r-project/UcyC",1,""
"https://www.jumpingrivers.com/blog/index.xml",1,""
"http://feeds.feedburner.com/github/cZUk",1,""
"https://juliasilge.com/tags/rstats/index.xml",1,""
"http://feeds.feedburner.com/StoriesDataSpeak",1,""
"https://mark-white-ctlg.squarespace.com/blog?tag=R&format=RSS",1,""
"http://feeds.feedburner.com/ROnProgrammingNotes",1,""
"http://feeds.feedburner.com/JozefsRblog",1,""
"http://feeds.feedburner.com/ROnGarrickAden-buie",1,""
